creating an lstm...	
seeding with @	
--------------------------	
@
[4e	4en	4a]
.	8dn	.
4G#	4e	16e]
.	.	8d#
.	[8.G#	8f#
.	.	16e
.	.	16c#
@
8G]	16G#]	8.b
.	16B	.
8G#	16A	8f#
.	16A	.
8G#	8.B	16d#
.	.	16c#
8.F#	8.F#	8.d#
8r	16G#	.
.	16A#	.
@
8GG#	4.B	4d#
16G#	.	.
16A#	.	.
.	16B#	.
16G#	8r	16c#]
16A#	.	16c#
16A#	.	16c#
16F#	.	16B
16E	16c#	8.g#
16F#	16A	.
16BB	8.F#	8.A
16G#	.	.
16A	8A#	.
16F#	.	.
16A	16G#	8.g#
16F#	16A#	.
16BB	16B	.
16E	16C#	.
16G#	16B	.
16AA#	16c#	.
8E#	8.G#	16e#
.	.	16f#
16D#	.	16a#
@
8.E	16G#	8.e#
.	16A#	.
.	16G#	.
[8C##	16A#	.
.	16B	.
8.A	16F##	.
.	16G#	.
.	16A#	.
@
8.F#	8F#	16e#
.	.	16c#
16BB	.	16d#
16AA#	8.c#	8.g#
16BB	.	.
16C#	.	.
16D#	[4.c#	8.f#]
16Dn	.	.
16C#	.	16a
16D#	.	16f#
16E	.	16g#
16BB	.	16b#
16AA#	8.c#	[4g#
16EE	.	.
16FF#	8.f#	.
16D#	.	.
16E	8.e	[4.g#
16F#	.	.
8E#	8.c#	.
.	8f#	.
@
8D#	16d#	8r
.	16c#	.
8AA#	16d#	8.dd#
.	16f#	.
8EE#	16c#	8.dd#
.	16B#	.
8C#	8B#	.
8GG#	16B#	16ee#
.	16f#	16dd#
8E#	8r	16g#
.	.	16a#
8.C#	8.c#	8.a#
.	16d#	16f#
.	16A#	16g#
16BB#	8.r#	8f#
16AA#	.	.
8.BB#	8.B#	16g#
.	.	16f#
.	.	16e#
16BB#	.	[8f#
16C#	.	.
16E#	8r	8.f#
16F#	.	.
16B	8d#	8f#M
16E	.	.
16A#	8.c#	8an
16G#	.	.
16A	8.g#	8a#
16F#	.	.
16G\	8d#	8a#
16A	.	.
16G#	8.f#	8b
16F#	.	.
16A	8d#	8f#
16E	.	.
8F#	8.B	8a
8G#	8d#	16e
.	.	16b
8A#	8.c#	16a#
.	.	16g#
8E#	.	16g#
.	.	16a#
[4.E	8.c#	16g#
.	.	16g#
.	.	16c#
.	.	16b
@
8.E	16E	16g#
.	16A	16a#
.	16d#	16a#
8.c#	16d#	8.f#
.	16c#	.
.	16e	.
8.F#	16d#	[4.a
.	16d#	.
.	16c#	.
8B	16B	.
.	16c#	.
8G#	16B	.
.	16A	.
8.G#	16B	.
.	16C#	.
.	16B	.
.	16c#	.
[4G#	8.B#	16r
.	.	16g#
.	.	16g#
.	.	16f#
.	.	16e
@
8.E	16G#]	8.g#
.	16B	.
